Protein,Actin filaments,Cell Junctions,Centriolar satellite,Centrosome,Cytokinetic bridge,Cytoplasmic bodies,Cytosol,Endoplasmic reticulum,Endosomes,Focal adhesion sites,Golgi apparatus,Intermediate filaments,Lipid droplets,Lysosomes,Microtubules,Midbody,Midbody ring,Mitochondria,Mitotic spindle,Nuclear bodies,Nuclear membrane,Nuclear speckles,Nucleoli,Nucleoli fibrillar center,Nucleoplasm,Peroxisomes,Plasma membrane,Vesicles
ENSP00000378974,0.9937582,0.99011755,0.9988622,0.9954608,0.9955636,0.99608433,0.19870545,0.6426293,0.9866573,0.99942696,0.575558,0.999611,0.99371505,0.9915988,0.9932432,0.8818719,0.7794376,0.0072413543,0.916637,0.9732448,0.9962935,0.6975478,0.00041713717,0.99915534,0.991535,0.928113,0.92186713,0.77579004
ENSP00000256078,0.9464555,0.8181563,0.9940819,0.9441587,0.97209984,0.9866726,0.17002459,0.13963509,0.960369,0.9951514,0.4741371,0.99831724,0.9813975,0.98400337,0.9749288,0.8593279,0.7654996,0.0025315108,0.85395855,0.78967774,0.97095174,0.11257035,0.0017099215,0.9956975,0.9987272,0.9326139,0.88097674,0.6331245
ENSP00000476960,0.9986943,0.95352536,0.9993708,0.92177933,0.981607,0.99571764,0.0012273125,0.06719213,0.9974489,0.9997631,0.00091929076,0.9846609,0.9937238,0.99958855,0.9988576,0.9819894,0.89863497,0.0011148525,0.97964555,0.93154657,0.96002084,0.43945995,0.010112773,0.98161304,0.9999566,0.98654443,0.0012541757,0.0031257032
ENSP00000346839,0.9910637,0.92909205,0.9965259,0.88909656,0.94254065,0.99682033,0.027615374,0.85406435,0.9881296,0.9986317,0.9159165,0.99791294,0.97222817,0.99144495,0.99473345,0.88256854,0.8210855,0.004284554,0.9282573,0.8006816,0.9708005,0.18448164,0.00033375606,0.97610146,0.96909237,0.9419132,0.9433503,0.9050786
ENSP00000300093,0.9752985,0.97704995,0.9897588,0.91561997,0.7814234,0.9907262,0.035610784,0.01447588,0.98671097,0.9998927,0.00030967756,0.9687884,0.9564922,0.9966649,0.9882634,0.953874,0.83345675,0.00043692425,0.81996757,0.95009696,0.9044414,0.1830555,0.0019169911,0.8409455,0.9947872,0.9718694,0.020704204,0.016985284
ENSP00000478570,0.9970375,0.94476247,0.99930567,0.9891571,0.9923582,0.99699897,0.059024785,0.93600297,0.9911925,0.99946076,0.4975077,0.99928164,0.98861194,0.9933109,0.99941653,0.908239,0.8135618,0.006177347,0.938629,0.9833589,0.99219525,0.36494458,0.001605886,0.9965144,0.99312043,0.9412763,0.9004933,0.9527861
ENSP00000418447,0.24329814,0.9926154,0.98313594,0.46466333,0.8932726,0.950381,0.99667394,0.20933925,0.9860071,0.99783707,4.2029253E-05,0.91415495,0.98805016,0.99117905,0.977566,0.9332411,0.8179979,0.0048530386,0.89813185,0.402594,0.35686746,0.014318664,0.08580924,0.7980742,0.99078166,0.9812087,0.04050933,0.0033369672
ENSP00000348056,0.9994971,0.9264627,0.9977797,0.67384267,0.8215854,0.9947634,0.0032119774,0.008707419,0.9953619,0.9999161,0.0016350594,0.98959297,0.981642,0.9988913,0.99591446,0.95576817,0.9086789,0.00027748544,0.9780945,0.99757254,0.90334576,0.075111374,0.0011432796,0.9782691,0.9998551,0.98087525,0.00087479915,0.0006725986
ENSP00000458162,0.99951464,0.97877955,0.99698526,0.9978192,0.95658547,0.9893352,0.68384933,0.96419156,0.9775546,0.9997196,0.003088086,0.99732804,0.9822473,0.99043393,0.9970365,0.8154003,0.7655687,0.13841468,0.8699278,0.698605,0.9306658,0.8325384,0.20277303,0.99938774,0.9740963,0.8730018,0.7083812,0.37821773
ENSP00000269349,0.0014514786,0.02700866,0.460819,0.012399353,0.008596123,0.08855331,0.90823597,0.00022458966,0.8157227,0.9493006,2.8508568E-06,0.057033338,0.48567417,0.9368723,0.63803965,0.63107514,0.6194279,0.0011850522,0.89300203,0.029136956,0.0041157207,0.0023620566,0.050141077,0.39689165,0.9808412,0.90401584,1.99557E-07,1.7656964E-06
ENSP00000383949,0.0005241094,0.02716684,0.46360928,0.010596176,0.0011898391,0.03187591,0.56636333,0.00052824273,0.60336477,0.47299445,6.654762E-07,0.0069767516,0.25526217,0.83798355,0.6000522,0.52282333,0.49408132,0.032315813,0.8536618,0.011466734,0.0011332587,0.00083115464,0.29228005,0.049567293,0.98104954,0.7464827,2.4975236E-07,1.1785478E-07
ENSP00000341779,0.9334412,0.993917,0.99172974,0.70768976,0.9209246,0.97859293,0.96304494,0.08275468,0.9821776,0.9984005,0.00016492321,0.9207241,0.98913395,0.99260026,0.99230075,0.93890053,0.8023112,0.032332312,0.87819034,0.56259334,0.79552454,0.014897596,0.0011940079,0.8988371,0.99679697,0.9736889,0.0539406,0.0043582604
ENSP00000324124,0.0077098156,0.0010536877,0.26762688,0.0021314386,0.00020974185,0.046820324,0.0007563855,1.4337396E-05,0.6663745,0.8013194,1.734222E-06,0.005273138,0.16766903,0.87782896,0.13865712,0.54034936,0.46293843,0.0023469876,0.83467627,0.005653657,0.004762575,0.013027901,0.0020298124,0.014121713,0.9998822,0.7099413,1.2560817E-07,8.374749E-06
ENSP00000371253,0.9892422,0.43320754,0.991993,0.9869288,0.9904628,0.99404275,0.9461458,0.86461353,0.99160826,0.9979464,0.00046303426,0.8070496,0.95470375,0.9938044,0.99917847,0.9391437,0.87275136,0.9639819,0.96659964,0.015547898,0.00971495,0.0022213224,0.070267774,0.6335527,0.8242761,0.9240339,0.012610791,0.0002953285
ENSP00000302665,0.9826774,0.9096809,0.99870956,0.9728929,0.98625535,0.99617493,0.05527717,0.8280621,0.98849523,0.9983813,0.420873,0.9981715,0.9815348,0.9911388,0.9970178,0.91261804,0.8233038,0.0052798814,0.9457407,0.75037044,0.9750018,0.36379254,0.0005335988,0.98389226,0.9877794,0.94330513,0.86898774,0.9827055
ENSP00000358548,0.7263818,0.7217245,0.9772899,0.5634071,0.92957824,0.96329653,0.571966,0.03507939,0.91564256,0.96707165,0.11116479,0.9888404,0.97510266,0.96781164,0.88721365,0.82682306,0.7367041,0.0019627758,0.8274807,0.24731496,0.92938894,0.05484818,0.0024145732,0.9754561,0.9945026,0.93059075,0.90304255,0.5787641
ENSP00000332194,0.84969944,0.08343007,0.9589302,0.051713392,0.06706355,0.7653358,3.7568367E-05,0.00016039835,0.94317114,0.9180524,4.460728E-07,0.06302675,0.6240051,0.986328,0.117927186,0.9309343,0.8547592,8.6271335E-05,0.96743304,0.50743914,0.15981473,0.015049965,5.647995E-05,0.034927107,0.99999905,0.92252934,3.848633E-06,4.577464E-05
ENSP00000249071,0.035012085,0.12537895,0.6520703,0.032074913,0.5356731,0.7791792,0.94485277,0.003927965,0.6319438,0.39100605,0.0012388165,0.12643288,0.8588666,0.83609307,0.054176807,0.6780603,0.73672086,0.0003603871,0.6965997,0.018810026,0.04423479,0.0048129926,4.8919384E-05,0.4287361,0.9397767,0.87369424,0.97133225,0.8712453
ENSP00000264414,0.874642,0.06950954,0.9662687,0.11454914,0.316775,0.94493425,0.35149616,0.00046680204,0.93679094,0.9996048,0.0028171425,0.94709486,0.9246059,0.978844,0.2260376,0.8151068,0.86844695,0.00016411771,0.9493812,0.15536162,0.37240872,0.036596682,0.00012142562,0.9638074,0.99947184,0.9346094,0.01068411,0.0070338994
ENSP00000302896,0.0005248166,0.008593648,0.5019733,0.0126410015,0.024350107,0.026796943,0.7241113,0.023959326,0.6153692,0.16603203,1.2896176E-06,0.0099807065,0.45456928,0.8377397,0.284372,0.28309926,0.60897666,0.67798436,0.86489546,0.0006396268,0.0005406141,2.1857371E-05,0.45877248,0.010707296,0.6437426,0.67924917,1.4132455E-06,4.2038653E-08
ENSP00000426103,0.99795884,0.6236984,0.9854698,0.573313,0.682084,0.9873174,0.19206582,0.023392895,0.97966415,0.99967146,0.16364732,0.9982915,0.9511658,0.9931973,0.66614085,0.8502196,0.88337797,0.00028307736,0.97557026,0.33800426,0.9857928,0.54649717,0.0005879753,0.9920495,0.98932165,0.9367845,0.15048715,0.41894233
ENSP00000308405,0.9373767,0.11203961,0.9407876,0.068976246,0.08256161,0.883802,0.00015565181,9.128743E-05,0.9612193,0.9791223,7.412095E-07,0.08147448,0.68498284,0.9917249,0.6560096,0.9492939,0.8619374,0.00010027368,0.95801425,0.67877644,0.23401938,0.02800014,0.00012186856,0.027783062,0.99999523,0.9607077,1.0929342E-06,6.036275E-05
ENSP00000430774,0.9976372,0.9634171,0.99157,0.3700062,0.9555409,0.99692744,0.7712031,0.008695332,0.9888399,0.9944723,0.0029469193,0.9895281,0.97750497,0.9963424,0.98846436,0.92812175,0.85775304,0.010078805,0.9656273,0.85452485,0.95496833,0.13485691,0.27234644,0.9380753,0.99686587,0.97775143,0.031632554,0.010307786
ENSP00000266735,0.0105968425,0.0042238226,0.35606372,0.0077369716,0.0003210959,0.047268514,0.52716595,0.00010612122,0.64195657,0.8210165,1.1066361E-06,0.05165291,0.21933535,0.8198764,0.4414397,0.7649456,0.46303618,0.024690378,0.8262206,0.3144638,0.004338496,0.012424956,0.022347793,0.3447408,0.99844617,0.8534935,4.973028E-07,1.4911994E-06
ENSP00000306512,0.99702567,0.9860017,0.9990125,0.9975211,0.995183,0.9964558,0.07492213,0.9494369,0.9962996,0.9990806,0.5713698,0.99924046,0.98972654,0.99648815,0.9982668,0.9258921,0.850428,0.059028223,0.95900655,0.9736641,0.9955207,0.33690193,0.006450951,0.99822575,0.97606164,0.9497914,0.9752497,0.9438979
ENSP00000368699,0.999784,0.9992588,0.99821776,0.97578174,0.99387383,0.9947306,0.9892615,0.951521,0.99885607,0.9999809,0.014041882,0.99952406,0.99872994,0.99926215,0.9706061,0.89005625,0.9097063,0.045741282,0.98516,0.5798047,0.98648804,0.21575937,0.17386976,0.99655414,0.84084564,0.967955,0.014357803,0.003083595
ENSP00000400591,0.008604505,0.0031586448,0.41224065,0.0128620565,0.00057728897,0.07863614,0.7203284,9.9570236E-05,0.7173189,0.8948328,2.531536E-06,0.03751241,0.30666173,0.8563206,0.65142524,0.742175,0.55511576,0.01711331,0.8634587,0.3768946,0.0025904342,0.04630275,0.021979352,0.3232538,0.9995559,0.84962183,3.1249402E-07,1.13537E-06
ENSP00000332454,0.99978584,0.99422866,0.993788,0.9653156,0.9918863,0.9983893,0.29367033,0.3043479,0.9930532,0.9997764,0.84141904,0.9995764,0.98374957,0.99796224,0.99745524,0.85731184,0.8251487,0.0017329142,0.96119803,0.6242135,0.9972696,0.87527895,0.10523144,0.9989885,0.93996346,0.9694796,0.45521426,0.6984681
ENSP00000309334,0.00019408569,0.0076024234,0.19267999,0.009436063,0.0017215789,0.006108343,0.8669151,0.014562074,0.36116937,0.017827513,1.1396539E-06,0.004094277,0.058217723,0.56145024,0.108100414,0.15930025,0.3086633,0.017581992,0.57539177,0.00069996266,0.0007152104,1.9240963E-05,0.45528018,0.007208213,0.9284832,0.42861423,8.2617737E-07,9.793482E-08
ENSP00000274764,0.8865911,0.08617876,0.94832,0.04931225,0.11866373,0.8476943,2.065672E-05,7.3142925E-05,0.9599836,0.87390465,2.9136656E-06,0.027891807,0.58627534,0.9911365,0.14188531,0.94721675,0.87234074,5.176011E-05,0.9729751,0.6575963,0.2382478,0.0038801823,3.5217603E-05,0.04025259,0.9999995,0.9598849,1.1119727E-05,7.048423E-05
ENSP00000268035,0.98957527,0.95503056,0.99819845,0.98487556,0.98627746,0.9974188,0.040084697,0.76658815,0.9705993,0.99921757,0.7496473,0.9995645,0.98915344,0.9790175,0.9948157,0.88760525,0.7827374,0.0095395725,0.93677163,0.6056704,0.9904437,0.7478708,0.0013802887,0.9952615,0.95999223,0.9470655,0.90235585,0.97168314
ENSP00000280326,0.07747841,0.124269515,0.9255151,0.54309404,0.033070497,0.54298097,0.9622702,0.038941912,0.890626,0.9674335,5.256343E-07,0.29164284,0.44463092,0.9241252,0.9761946,0.777048,0.79072523,0.05118347,0.85190636,0.025490284,0.020466253,0.0040777978,0.19547445,0.11366318,0.91943526,0.8465782,0.00033713214,8.15743E-06
ENSP00000216455,0.036820672,0.17849655,0.8555449,0.20630564,0.07105122,0.58402264,0.98478794,0.005340677,0.948657,0.9978306,1.5212497E-05,0.5221602,0.939462,0.9703752,0.23887421,0.79988617,0.78703696,0.0008182793,0.8960952,0.16033831,0.01723262,0.00405084,0.0088066785,0.75044405,0.97751015,0.87881964,7.646687E-05,0.00017423631
ENSP00000425979,0.9989205,0.97934705,0.9992288,0.9774983,0.99354833,0.9911963,0.047724236,0.1934963,0.99850214,0.9999543,0.0029130185,0.99587417,0.9982015,0.99873024,0.9997187,0.9551541,0.8842451,0.48577365,0.9900158,0.76302886,0.9007501,0.1012617,0.51255476,0.99733776,0.9994489,0.9807706,5.7133027E-05,0.0001086171
ENSP00000350052,0.99964607,0.98509467,0.9976988,0.9989018,0.95693254,0.9877929,0.7644611,0.9412955,0.9855709,0.9997178,0.013133336,0.99620485,0.98795104,0.99331933,0.9975028,0.83671546,0.7807495,0.20143722,0.8690495,0.7501757,0.9415568,0.8248651,0.08116732,0.99897635,0.955977,0.8806598,0.3562835,0.5357881
ENSP00000232165,0.99988127,0.99510014,0.9977352,0.9875855,0.9603161,0.99648786,0.2643301,0.16384003,0.99339396,0.9999647,0.5868767,0.9998126,0.9970548,0.99604416,0.9909323,0.9169631,0.8909747,0.0018744608,0.98026204,0.94637084,0.9698098,0.3318059,0.0021566418,0.99903387,0.997421,0.9656823,0.08113423,0.14255692
ENSP00000226730,0.9939705,0.9496222,0.9981723,0.93952376,0.98492295,0.99146545,0.25067255,0.9161658,0.9907891,0.9960575,0.1305264,0.9979893,0.9910894,0.9936696,0.9942031,0.91269815,0.8383147,0.0057222177,0.9363048,0.92475486,0.98839086,0.17040142,0.0010117717,0.9975644,0.9766498,0.9730422,0.94557375,0.98465556
ENSP00000359910,0.83061635,0.9587711,0.99559546,0.8961592,0.79448515,0.9730707,0.9320063,0.2897278,0.99643445,0.99995273,0.00036986222,0.99720466,0.9981906,0.9978744,0.9766044,0.92674196,0.874804,0.0016189094,0.9742041,0.7430272,0.73437923,0.036765344,0.15314618,0.9948733,0.99268246,0.97103477,0.010590275,0.004920607
ENSP00000355645,0.99857235,0.9098006,0.98715824,0.96288747,0.7789465,0.96795875,0.80838597,0.52972996,0.9506456,0.9992809,0.005731197,0.99631757,0.96650547,0.98211014,0.9876325,0.72789794,0.76210153,0.054703917,0.8297984,0.3433531,0.6902527,0.87242293,0.0394225,0.9973814,0.87420493,0.8404846,0.6737395,0.437456
ENSP00000317334,0.6173866,0.28422764,0.96934414,0.9055384,0.1968315,0.7637378,0.9664187,0.12048555,0.9545746,0.9928356,3.3588485E-06,0.51313263,0.75376266,0.9640804,0.9924678,0.8379762,0.85563964,0.5537605,0.9031495,0.035948932,0.054746807,0.012185659,0.16865775,0.40435398,0.67351615,0.911797,0.00023543774,3.0237452E-05
ENSP00000446215,0.12639461,0.11626504,0.8418223,0.060667355,0.11188772,0.4781918,0.92392915,0.0028845267,0.9429848,0.9958036,2.315446E-06,0.10219078,0.70352834,0.9764158,0.70846266,0.796088,0.75049925,0.0041085416,0.8543241,0.22341289,0.015311391,0.00041623216,0.0010135535,0.22845137,0.9173048,0.8984438,7.584051E-06,7.709068E-06
ENSP00000412237,0.9815577,0.93563753,0.99475294,0.6690361,0.9741118,0.98934525,0.34878662,0.9415287,0.99246705,0.9872199,0.17678182,0.9905984,0.97003764,0.9945098,0.9865469,0.9086219,0.8589139,0.0046859356,0.937429,0.68367994,0.96523243,0.032352936,0.00017507597,0.9912248,0.9425237,0.96144265,0.95202553,0.9920219
ENSP00000285735,0.050092634,0.052064426,0.45270884,0.022302123,0.38635686,0.6872664,0.8544253,0.0024422284,0.60753274,0.21913105,0.00097186136,0.059929144,0.7846595,0.83871996,0.04136738,0.66198605,0.71710575,0.00024392278,0.6779286,0.010852413,0.014176916,0.0018494328,1.9479303E-05,0.30336744,0.9606108,0.8634744,0.9819653,0.708965
ENSP00000479106,0.96536803,0.74127346,0.99099714,0.28135148,0.45045957,0.9648026,0.001759748,0.00087129674,0.9839207,0.97561777,1.11070085E-05,0.43483573,0.9130964,0.99751675,0.8278447,0.94884384,0.8958055,0.0003356063,0.9701645,0.7389868,0.47551045,0.063980326,0.0041230456,0.26757565,0.9999795,0.9674812,2.1395175E-05,0.00018196012
ENSP00000225916,0.9034659,0.29377824,0.97479737,0.20983976,0.38738814,0.9613365,0.0012100496,7.592268E-05,0.98117846,0.96215534,0.00013931171,0.093090005,0.8000581,0.99628,0.96705705,0.915513,0.89089906,0.000263147,0.97564,0.06613181,0.28827292,0.40448362,0.00043323703,0.40556443,0.9983865,0.9534065,3.934685E-06,0.00015256323
ENSP00000297261,0.9949291,0.96167004,0.9971311,0.98080945,0.98450536,0.99879223,0.0265954,0.8776311,0.99534816,0.9994341,0.84931904,0.9983441,0.9813225,0.99725056,0.9992866,0.9293776,0.83830833,0.0009506134,0.9186747,0.8435362,0.9967186,0.19051287,0.0066573108,0.9969629,0.9978584,0.9606981,0.63452077,0.44768786
ENSP00000300413,0.00097095163,0.0027069314,0.18983257,0.004015933,0.0003207173,0.027857857,0.6893921,1.8284703E-05,0.5490255,0.6844254,3.0948107E-07,0.010314458,0.13560498,0.7486979,0.29194364,0.67279094,0.39177808,0.0035524862,0.71994567,0.27120835,0.0013881723,0.01219835,0.0022158278,0.27207303,0.9998822,0.7512109,2.6757235E-07,8.62154E-07
ENSP00000304283,0.02914513,0.06219815,0.36966673,0.0074887606,0.28716803,0.59608,0.98515666,0.00040096126,0.41513938,0.1281403,0.0014279627,0.04141299,0.6872161,0.6900611,0.033204548,0.5952689,0.70601124,0.00018478505,0.61902165,0.004764813,0.008854255,0.0017698209,5.291394E-05,0.13150194,0.9184771,0.8481421,0.96913964,0.59945154
ENSP00000338345,0.9999714,0.9977935,0.9985003,0.9990871,0.99870247,0.9977226,0.2765199,0.9936746,0.9528577,0.9999533,0.9724883,0.99998474,0.9949217,0.94750214,0.99993473,0.87081146,0.7473131,0.39362085,0.897526,0.9960805,0.9988834,0.97916627,0.029618707,0.9996808,0.89729464,0.8739571,0.6875466,0.9276155
ENSP00000362744,0.0027416046,0.050559025,0.7219836,0.07288411,0.019693993,0.1220084,0.9013604,0.012910808,0.77776426,0.6469963,5.1960533E-06,0.037965987,0.5758973,0.9308813,0.7363874,0.47054064,0.6949314,0.18697174,0.8735706,0.0051493947,0.0018971842,5.3987736E-05,0.29728305,0.032163348,0.78587496,0.76211363,3.3034678E-06,3.2156026E-07
ENSP00000358525,0.92706245,0.8952228,0.9962018,0.91218925,0.96744055,0.9933553,0.13274832,0.65355027,0.9682325,0.9853681,0.8914267,0.9986031,0.9861366,0.97069395,0.98361254,0.82603186,0.7601609,0.0031081487,0.8860182,0.78622055,0.9654395,0.3990589,0.0011851047,0.9553158,0.95361876,0.918152,0.95238847,0.94330955
ENSP00000411355,0.99197507,0.92765015,0.9941026,0.6847869,0.94055426,0.99236363,0.07350803,0.9113675,0.9869333,0.9802195,0.06590402,0.99592227,0.9801371,0.99223995,0.99247885,0.9121099,0.8618684,0.0023762048,0.92745554,0.86424893,0.97484946,0.07046322,0.00028107408,0.993351,0.9904382,0.97782594,0.9801127,0.94644266
ENSP00000273047,0.6491366,0.34000948,0.845721,0.06837537,0.6807492,0.7973953,0.38588673,0.21887721,0.43339708,0.90829295,0.16844901,0.5985002,0.9086058,0.5441952,0.22930641,0.60896975,0.7708535,0.0010641486,0.7618356,0.0052995505,0.28689143,0.10465383,1.9984593E-05,0.79977894,0.13707632,0.85209924,0.8457835,0.99759114
ENSP00000378350,0.44057852,0.05645815,0.9597298,0.23650569,0.057997152,0.9372598,0.58965963,0.0012990122,0.9839661,0.99930954,7.899259E-05,0.72263324,0.9015758,0.9936545,0.6975905,0.9032697,0.8220985,0.0017357732,0.95264614,0.090442725,0.21633177,0.0032648603,0.0006378931,0.4986117,0.99961764,0.92334884,0.00030143894,0.00010318791
ENSP00000362413,0.99775803,0.35524672,0.9990594,0.9973814,0.98754525,0.99075663,0.8577688,0.93091553,0.9937755,0.99969053,0.000489893,0.94147575,0.97902834,0.9943277,0.9983315,0.92586595,0.8730534,0.99923646,0.9651901,0.13272007,0.15422869,0.052003276,0.045578886,0.9270581,0.57351536,0.90293384,0.0039118384,0.00082365563
ENSP00000318646,0.0023012601,0.014668386,0.6537637,0.047182288,0.009044919,0.060593963,0.5630104,0.014367968,0.73654026,0.57650036,5.0302597E-06,0.020068888,0.66300684,0.91752005,0.4840618,0.35577032,0.6548221,0.5899639,0.84868944,0.0023017002,0.0005235526,3.0814255E-05,0.16791895,0.0135418475,0.37675565,0.7283306,8.9726E-06,8.426663E-08
ENSP00000272233,0.102940075,0.12924379,0.6129467,0.027926268,0.47378808,0.80807966,0.8885791,0.0024502643,0.70752984,0.3784359,0.0030316252,0.1518781,0.8090982,0.88553274,0.08400795,0.70842063,0.7222156,0.00016635294,0.725877,0.04044168,0.023465002,0.0024062002,3.5915433E-05,0.31508297,0.95093364,0.87889117,0.97712964,0.79601485
ENSP00000361465,0.6999835,0.15186255,0.9581611,0.17075975,0.029498985,0.74459124,0.030440453,0.0065928595,0.9651928,0.9785465,3.3090707E-06,0.08809225,0.7079712,0.9867387,0.85678995,0.7413411,0.80814546,0.43810144,0.9641764,0.009807064,0.045218777,0.00066078536,0.09548469,0.075352445,0.9021347,0.870278,1.3784476E-06,2.875593E-06
ENSP00000484789,0.9131428,0.72923493,0.9861025,0.29676253,0.396134,0.9404487,0.005028512,0.0014623821,0.9754388,0.95891714,5.096773E-06,0.28555137,0.9118998,0.9961185,0.8465879,0.9429578,0.89306575,0.00030698118,0.96594757,0.6433877,0.42099753,0.05364676,0.007083002,0.18762784,0.99998385,0.96049994,7.920248E-06,0.000105878
ENSP00000245451,0.9890212,0.5920526,0.9910975,0.38623407,0.8975589,0.99638,0.017970635,0.49379012,0.99110144,0.94604486,0.7568649,0.98667616,0.96430784,0.99475616,0.9940712,0.93883085,0.8778068,0.001047217,0.9659997,0.43979964,0.95786506,0.021785023,0.00022540761,0.96118826,0.9992071,0.98605746,0.6485863,0.61750716
ENSP00000339095,0.001249957,0.051391106,0.893937,0.110999554,0.11437443,0.25179976,0.36240888,0.06618854,0.8899753,0.6026307,6.475257E-06,0.09668105,0.81974185,0.97481775,0.78793895,0.59609634,0.81414,0.6696067,0.95717824,0.003271928,0.00412289,8.6076405E-05,0.77875966,0.04972602,0.5360903,0.8885763,7.805089E-06,3.011155E-07
ENSP00000479461,0.8919994,0.69619745,0.989769,0.3063909,0.45877352,0.94263315,0.0013573855,0.00076734205,0.97749937,0.93032485,1.33350095E-05,0.2732874,0.8969624,0.99624795,0.8128793,0.9474137,0.9009249,0.00038552325,0.96685964,0.66884035,0.4268393,0.07350281,0.0015119368,0.21893077,0.9999834,0.96536565,8.60647E-06,0.00016818709
ENSP00000231449,0.99492276,0.97880745,0.9980835,0.9783196,0.99252343,0.9923162,0.40053475,0.9754426,0.9891705,0.99545676,0.284983,0.9982396,0.98512286,0.99246264,0.99469554,0.904899,0.83811104,0.03851268,0.934378,0.93212986,0.99267083,0.2502352,0.00056562864,0.99778944,0.88210857,0.96646595,0.9515506,0.9887725
ENSP00000229135,0.99971455,0.9962575,0.99903697,0.99265146,0.9951187,0.99508256,0.16304332,0.9671226,0.9967519,0.9994708,0.74713135,0.9992895,0.99362147,0.99750787,0.99864084,0.9323385,0.84947604,0.01811614,0.94015294,0.987801,0.99550444,0.3243908,0.0027848794,0.99933124,0.96465415,0.9706308,0.90681225,0.96580786
